date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:42	168/168	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:19%20GMT	http://www.lpu.in/js/internationalpsearch.js	C:/My%20Web%20Sites/lpu/www.lpu.in/js/internationalpsearch.23c.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:44	101187/101187	---M-Z	200	added ('OK')	application/javascript	etag:%220e472c8c5b7d41:0%22	https://www.lpu.in/js/internationalpsearch.js	C:/My%20Web%20Sites/lpu/www.lpu.in/js/internationalpsearch.js	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:44	176/176	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:21%20GMT	http://www.lpu.in/css/select2/js/select2.full.min.js	C:/My%20Web%20Sites/lpu/www.lpu.in/css/select2/js/select2.full.min.23e.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:46	71172/71172	---M-Z	200	added ('OK')	application/javascript	etag:%22061387ccbdd31:0%22	https://www.lpu.in/css/select2/js/select2.full.min.js	C:/My%20Web%20Sites/lpu/www.lpu.in/css/select2/js/select2.full.min.js	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:47	443/443	---M-Z	200	added ('OK')	text/css	etag:%226c7857d98ecd31:0%22	https://www.lpu.in/international/css/international-custom.css	C:/My%20Web%20Sites/lpu/www.lpu.in/international/css/international-custom.css	(from https://www.lpu.in/international/english-language-requirement.php)
16:52:47	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.241.delayed	(from https://www.lpu.in/international/english-language-requirement.php)
16:52:47	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.242.delayed	(from https://www.lpu.in/international/english-language-requirement.php)
16:52:47	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.243.delayed	(from https://www.lpu.in/international/scholarship.php)
16:52:47	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.244.delayed	(from https://www.lpu.in/international/scholarship.php)
16:52:48	46285/46285	---M-Z	200	added ('OK')	application/javascript	etag:%221c42e5335ecd31:0%22	https://www.lpu.in/international/js/jquery.validate.js	C:/My%20Web%20Sites/lpu/www.lpu.in/international/js/jquery.validate.js	(from https://www.lpu.in/international/scholarship.php)
16:52:49	39071/39071	---M-Z	200	added ('OK')	application/javascript	etag:%22f77b8335ecd31:0%22	https://www.lpu.in/international/js/jquery.validate.additional-methods.js	C:/My%20Web%20Sites/lpu/www.lpu.in/international/js/jquery.validate.additional-methods.js	(from https://www.lpu.in/international/scholarship.php)
16:52:50	9244/9244	---M-Z	200	added ('OK')	application/javascript	etag:%22d0d39a96371d41:0%22	https://www.lpu.in/international/js/scholarship.js	C:/My%20Web%20Sites/lpu/www.lpu.in/international/js/scholarship.js	(from https://www.lpu.in/international/scholarship.php)
16:52:51	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.248.delayed	(from https://www.lpu.in/international/how_to_apply.php)
16:52:51	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.249.delayed	(from https://www.lpu.in/international/how_to_apply.php)
16:52:51	0/-1	---M--	301	error ('')			https://www.lpu.in/international	C:/My%20Web%20Sites/lpu/www.lpu.in/international.24a.delayed	(from https://www.lpu.in/international/how_to_apply.php)
16:52:52	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.24c.delayed	(from https://www.lpu.in/international/how_to_pay.php)
16:52:52	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.24d.delayed	(from https://www.lpu.in/international/how_to_pay.php)
16:52:52	18163/18163	---M--	200	added ('OK')	image/jpeg	etag:%22b05490b47293d41:0%22	https://www.lpu.in/international/imgs/howapply-login.jpg	C:/My%20Web%20Sites/lpu/www.lpu.in/international/imgs/howapply-login.jpg	(from https://www.lpu.in/international/how_to_apply.php)
16:52:53	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.24f.delayed	(from https://www.lpu.in/international/booklet_and_forms.php)
16:52:53	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.250.delayed	(from https://www.lpu.in/international/booklet_and_forms.php)
